Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status,Response_Time_Min,Sentiment
CONV-1690,Slow system performance,Restart your router.,39 minutes,Software,Pending,8,neutral
CONV-1691,Slow system performance,Clear cache and remove unnecessary programs.,29 minutes,Account,Resolved after follow-up,10,neutral
CONV-1692,Printer not responding,Verify your email settings.,95 minutes,Performance,Pending,26,neutral
CONV-1693,Slow system performance,Reinstall the printer drivers.,93 minutes,Account,Escalated,7,neutral
CONV-1694,Unable to access email,Reinstall the printer drivers.,89 minutes,Network,Resolved after follow-up,17,neutral
CONV-1695,Blue screen error,Restart your router.,5 minutes,Account,Resolved,7,negative
CONV-1696,Printer not responding,Follow the software installation guide.,18 minutes,Network,Resolved,20,neutral
CONV-1697,Slow system performance,Restart your router.,85 minutes,Hardware,Resolved after follow-up,33,neutral
CONV-1698,Blue screen error,Clear cache and remove unnecessary programs.,16 minutes,Hardware,Resolved after follow-up,28,negative
CONV-1699,Forgot password,Reset your password using the link provided.,48 minutes,Account,Escalated,4,neutral
CONV-1700,Printer not responding,Reset your password using the link provided.,119 minutes,Network,Escalated,5,neutral
CONV-1701,Unable to access email,Reinstall the printer drivers.,74 minutes,Performance,Resolved after follow-up,39,neutral
CONV-1702,Slow system performance,Restart your router.,39 minutes,Hardware,Pending,28,neutral
CONV-1703,Software installation failure,Reset your password using the link provided.,8 minutes,Software,Escalated,12,negative
CONV-1704,Slow system performance,Verify your email settings.,100 minutes,Software,Resolved after follow-up,5,neutral
CONV-1705,Printer not responding,Clear cache and remove unnecessary programs.,42 minutes,Network,Resolved after follow-up,25,neutral
CONV-1706,Printer not responding,Reinstall the printer drivers.,59 minutes,Account,Resolved after follow-up,10,neutral
CONV-1707,Slow system performance,Reset your password using the link provided.,33 minutes,Account,Resolved after follow-up,19,neutral
CONV-1708,Software installation failure,Verify your email settings.,10 minutes,Software,Resolved after follow-up,3,negative
CONV-1709,Printer not responding,Follow the software installation guide.,81 minutes,Network,Pending,14,neutral
CONV-1710,Forgot password,Restart your router.,82 minutes,Performance,Escalated,10,neutral
CONV-1711,Unable to access email,Run a system diagnostic tool.,67 minutes,Performance,Escalated,33,neutral
CONV-1712,Printer not responding,Reinstall the printer drivers.,71 minutes,Software,Escalated,6,neutral
CONV-1713,Printer not responding,Reinstall the printer drivers.,109 minutes,Performance,Escalated,21,neutral
CONV-1714,Unable to access email,Run a system diagnostic tool.,94 minutes,Software,Escalated,9,neutral
CONV-1715,Blue screen error,Follow the software installation guide.,6 minutes,Network,Escalated,6,negative
CONV-1716,Blue screen error,Run a system diagnostic tool.,8 minutes,Account,Resolved,9,negative
CONV-1717,Forgot password,Follow the software installation guide.,55 minutes,Account,Resolved,12,neutral
CONV-1718,Forgot password,Restart your router.,9 minutes,Performance,Resolved,36,neutral
CONV-1719,Blue screen error,Run a system diagnostic tool.,15 minutes,Performance,Resolved after follow-up,12,negative
CONV-1720,Slow system performance,Clear cache and remove unnecessary programs.,67 minutes,Software,Resolved,4,neutral
CONV-1721,Software installation failure,Clear cache and remove unnecessary programs.,60 minutes,Account,Pending,9,negative
CONV-1722,Cannot connect to Wi-Fi,Verify your email settings.,51 minutes,Software,Escalated,3,neutral
CONV-1723,Unable to access email,Reinstall the printer drivers.,107 minutes,Hardware,Escalated,18,neutral
CONV-1724,Printer not responding,Verify your email settings.,54 minutes,Hardware,Resolved after follow-up,28,neutral
CONV-1725,Slow system performance,Verify your email settings.,67 minutes,Network,Resolved after follow-up,20,neutral
CONV-1726,Printer not responding,Reinstall the printer drivers.,116 minutes,Performance,Resolved,34,neutral
CONV-1727,Forgot password,Reinstall the printer drivers.,16 minutes,Hardware,Pending,47,neutral
CONV-1728,Cannot connect to Wi-Fi,Verify your email settings.,98 minutes,Network,Resolved,9,neutral
CONV-1729,Cannot connect to Wi-Fi,Reset your password using the link provided.,83 minutes,Performance,Resolved after follow-up,31,neutral
CONV-1730,Unable to access email,Follow the software installation guide.,108 minutes,Performance,Escalated,22,neutral
CONV-1731,Unable to access email,Reinstall the printer drivers.,72 minutes,Performance,Pending,34,neutral
CONV-1732,Blue screen error,Reset your password using the link provided.,10 minutes,Performance,Resolved,38,negative
CONV-1733,Unable to access email,Restart your router.,16 minutes,Software,Pending,2,neutral
CONV-1734,Slow system performance,Reset your password using the link provided.,97 minutes,Network,Resolved after follow-up,15,neutral
CONV-1735,Software installation failure,Run a system diagnostic tool.,54 minutes,Account,Pending,12,negative
CONV-1736,Slow system performance,Run a system diagnostic tool.,26 minutes,Account,Resolved,19,neutral
CONV-1737,Forgot password,Clear cache and remove unnecessary programs.,47 minutes,Hardware,Resolved after follow-up,31,neutral
CONV-1738,Blue screen error,Clear cache and remove unnecessary programs.,100 minutes,Account,Resolved,15,negative
CONV-1739,Printer not responding,Restart your router.,97 minutes,Performance,Escalated,32,neutral
CONV-1740,Printer not responding,Verify your email settings.,32 minutes,Network,Resolved,5,neutral
CONV-1741,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,57 minutes,Account,Resolved after follow-up,6,neutral
CONV-1742,Forgot password,Run a system diagnostic tool.,20 minutes,Network,Escalated,13,neutral
CONV-1743,Blue screen error,Follow the software installation guide.,13 minutes,Software,Pending,7,negative
CONV-1744,Printer not responding,Clear cache and remove unnecessary programs.,108 minutes,Network,Escalated,27,neutral
CONV-1745,Forgot password,Reset your password using the link provided.,74 minutes,Software,Escalated,10,neutral
CONV-1746,Unable to access email,Reinstall the printer drivers.,60 minutes,Hardware,Escalated,47,neutral
CONV-1747,Cannot connect to Wi-Fi,Reinstall the printer drivers.,56 minutes,Performance,Escalated,33,neutral
CONV-1748,Unable to access email,Run a system diagnostic tool.,9 minutes,Performance,Resolved after follow-up,20,neutral
CONV-1749,Software installation failure,Follow the software installation guide.,79 minutes,Network,Pending,18,negative
CONV-1750,Software installation failure,Reinstall the printer drivers.,29 minutes,Network,Resolved,29,negative
CONV-1751,Software installation failure,Follow the software installation guide.,18 minutes,Software,Resolved,9,negative
CONV-1752,Slow system performance,Verify your email settings.,36 minutes,Account,Resolved after follow-up,8,neutral
CONV-1753,Blue screen error,Clear cache and remove unnecessary programs.,77 minutes,Software,Resolved,5,negative
CONV-1754,Unable to access email,Reset your password using the link provided.,84 minutes,Software,Resolved after follow-up,8,neutral
CONV-1755,Software installation failure,Run a system diagnostic tool.,61 minutes,Software,Resolved after follow-up,3,negative
CONV-1756,Unable to access email,Clear cache and remove unnecessary programs.,94 minutes,Network,Resolved after follow-up,27,neutral
CONV-1757,Slow system performance,Restart your router.,71 minutes,Software,Resolved,10,neutral
CONV-1758,Cannot connect to Wi-Fi,Run a system diagnostic tool.,44 minutes,Performance,Resolved,32,neutral
CONV-1759,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,39 minutes,Account,Resolved,13,neutral
CONV-1760,Printer not responding,Reinstall the printer drivers.,87 minutes,Hardware,Pending,52,neutral
CONV-1761,Forgot password,Clear cache and remove unnecessary programs.,7 minutes,Hardware,Escalated,18,neutral
CONV-1762,Blue screen error,Restart your router.,6 minutes,Performance,Resolved after follow-up,37,negative
CONV-1763,Cannot connect to Wi-Fi,Restart your router.,44 minutes,Software,Escalated,12,neutral
CONV-1764,Software installation failure,Reinstall the printer drivers.,101 minutes,Software,Resolved after follow-up,11,negative
CONV-1765,Slow system performance,Restart your router.,96 minutes,Network,Resolved,29,neutral
CONV-1766,Cannot connect to Wi-Fi,Run a system diagnostic tool.,82 minutes,Performance,Resolved after follow-up,13,neutral
CONV-1767,Forgot password,Reinstall the printer drivers.,17 minutes,Performance,Pending,39,neutral
CONV-1768,Forgot password,Reinstall the printer drivers.,84 minutes,Network,Pending,26,neutral
CONV-1769,Blue screen error,Reset your password using the link provided.,12 minutes,Hardware,Resolved,52,negative
CONV-1770,Cannot connect to Wi-Fi,Restart your router.,99 minutes,Hardware,Resolved,33,neutral
CONV-1771,Slow system performance,Restart your router.,76 minutes,Hardware,Resolved,53,neutral
CONV-1772,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,111 minutes,Hardware,Pending,25,neutral
CONV-1773,Unable to access email,Verify your email settings.,118 minutes,Software,Pending,7,neutral
CONV-1774,Forgot password,Reinstall the printer drivers.,78 minutes,Account,Escalated,16,neutral
CONV-1775,Cannot connect to Wi-Fi,Reinstall the printer drivers.,49 minutes,Software,Escalated,10,neutral
CONV-1776,Forgot password,Restart your router.,106 minutes,Account,Resolved,19,neutral
CONV-1777,Cannot connect to Wi-Fi,Reset your password using the link provided.,83 minutes,Performance,Resolved after follow-up,42,neutral
CONV-1778,Cannot connect to Wi-Fi,Verify your email settings.,83 minutes,Software,Resolved after follow-up,10,neutral
CONV-1779,Slow system performance,Reinstall the printer drivers.,116 minutes,Network,Resolved after follow-up,5,neutral
CONV-1780,Slow system performance,Verify your email settings.,62 minutes,Network,Escalated,5,neutral
CONV-1781,Slow system performance,Clear cache and remove unnecessary programs.,65 minutes,Software,Escalated,8,neutral
CONV-1782,Unable to access email,Run a system diagnostic tool.,88 minutes,Performance,Resolved after follow-up,38,neutral
CONV-1783,Slow system performance,Follow the software installation guide.,49 minutes,Network,Resolved after follow-up,18,neutral
CONV-1784,Cannot connect to Wi-Fi,Reinstall the printer drivers.,81 minutes,Account,Pending,16,neutral
CONV-1785,Blue screen error,Restart your router.,60 minutes,Hardware,Pending,25,negative
CONV-1786,Cannot connect to Wi-Fi,Verify your email settings.,45 minutes,Network,Resolved,6,neutral
CONV-1787,Blue screen error,Reinstall the printer drivers.,82 minutes,Account,Pending,12,negative
CONV-1788,Unable to access email,Restart your router.,50 minutes,Hardware,Resolved,31,neutral
CONV-1789,Blue screen error,Clear cache and remove unnecessary programs.,95 minutes,Account,Resolved,12,negative
CONV-1790,Slow system performance,Clear cache and remove unnecessary programs.,114 minutes,Software,Resolved,6,neutral
CONV-1791,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,98 minutes,Hardware,Resolved,18,neutral
CONV-1792,Printer not responding,Restart your router.,80 minutes,Network,Resolved,28,neutral
CONV-1793,Cannot connect to Wi-Fi,Verify your email settings.,23 minutes,Software,Resolved,9,neutral
CONV-1794,Software installation failure,Follow the software installation guide.,111 minutes,Network,Pending,15,negative
CONV-1795,Printer not responding,Clear cache and remove unnecessary programs.,11 minutes,Account,Pending,12,neutral
CONV-1796,Forgot password,Follow the software installation guide.,39 minutes,Performance,Resolved,24,neutral
CONV-1797,Forgot password,Verify your email settings.,72 minutes,Software,Escalated,3,neutral
CONV-1798,Unable to access email,Run a system diagnostic tool.,80 minutes,Account,Pending,4,neutral
CONV-1799,Cannot connect to Wi-Fi,Reset your password using the link provided.,78 minutes,Performance,Pending,41,neutral
CONV-1800,Printer not responding,Restart your router.,53 minutes,Software,Escalated,6,neutral
CONV-1801,Unable to access email,Run a system diagnostic tool.,100 minutes,Network,Resolved,23,neutral
CONV-1802,Slow system performance,Reinstall the printer drivers.,28 minutes,Network,Resolved,13,neutral
CONV-1803,Slow system performance,Restart your router.,70 minutes,Hardware,Pending,14,neutral
CONV-1804,Blue screen error,Reinstall the printer drivers.,98 minutes,Account,Resolved,17,negative
CONV-1805,Blue screen error,Reset your password using the link provided.,85 minutes,Software,Escalated,12,negative
CONV-1806,Slow system performance,Reset your password using the link provided.,6 minutes,Account,Resolved,16,neutral
